_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.political_affiliation,data.avatar,data.neighbor_ids,data.responses,data.response0TimeAt,data.response0,data.response1TimeAt,data.response1,data.response2TimeAt,data.response2,data.response3TimeAt,data.response3,data.response4TimeAt,data.response4,data.total_reward,data.base_reward,data.bonus,data.made_submission,data.age,data.education,data.gender,data.instruction_first_guess,data.instruction_second_guess,data.article,data.boston,data.hotdog,data.champion,data.last_response0,data.last_response1,data.last_response2,data.last_response3,data.last_response4,data.senate,data.other_player_party,data.knowledge,data.american,data.state,data.neighborhood,data.democrats,data.republicans,data.determined,data.attentive,data.alert,data.inspired,data.active,data.afraid,data.nervous,data.upset,data.ashamed,data.hostile,data.american_feel,data.texan_feel,data.democrats_feel,data.californians_feel,data.chinese_feel,data.republicans_feel,data.clarity,data.fairness,data.lookup,data.familiarity,data.feedback,data.province,data.official,data.city,data.years,data.stone,data.mile,data.last_responses,data.iranians_feel,data.russians_feel
whJvakFv2Q6638c5p,,2019-11-11T21:01:04Z,,,"ExitSurvey,GameSurvey,Debrief",2019-11-11T21:02:38Z,finished,,,2019-11-11T20:51:38Z,republican,republican.png,Axz8ZCk5rZAdFHAZQ,"29,53,68,56,66",2019-11-11T21:01:19.505Z,29.0,2019-11-11T21:01:36.714Z,53.0,2019-11-11T21:01:55.753Z,68.0,2019-11-11T21:02:12.755Z,56.0,2019-11-11T21:02:28.710Z,66.0,3.0,2.0,1.0,True,,high-school,,47.0,46.0,HotDog.png,Old State House,62,Jack Dietz,29.0,53.0,68.0,56.0,66.0,republicans,democratic,slightly-unknowledgeable,agree,no_agree_disagree,no_agree_disagree,disagree,agree,quite_bit,quite_bit,extreme,moderate,moderate,not_at_all,not_at_all,not_at_all,not_at_all,not_at_all,82.0,74.0,37.0,74.0,73.0,75.0,8.0,9.0,no,no,,,,,,,,"29,53,68,56,66",,
p8nYrWAei6g6EAkM5,,2019-11-11T20:55:55Z,,,"ExitSurvey,GameSurvey,Debrief",2019-11-11T20:57:07Z,finished,,,2019-11-11T20:51:53Z,republican,republican.png,fPy32QjewCZmsxFfp,"39,47,48,48,49",2019-11-11T20:51:48.506Z,39.0,2019-11-11T20:52:05.265Z,47.0,2019-11-11T20:52:19.601Z,48.0,2019-11-11T20:52:27.611Z,48.0,2019-11-11T20:52:41.381Z,49.0,3.0,2.0,1.0,True,29.0,bachelors,female,40.0,,Hashtag_Rock.png,,,,39.0,47.0,48.0,48.0,49.0,republicans,democratic,slightly-knowledgeable,strong_agree,strong_agree,,disagree,strong_agree,quite_bit,quite_bit,quite_bit,moderate,moderate,not_at_all,not_at_all,not_at_all,not_at_all,not_at_all,100.0,100.0,83.0,91.0,73.0,94.0,10.0,10.0,no,yes,,,,,"315,000",38.6,190,"39,47,48,48,49",,
5kTd5MkqDvK8PhopJ,,2019-11-11T21:00:48Z,,,"ExitSurvey,GameSurvey,Debrief",2019-11-11T21:02:45Z,finished,,,2019-11-11T20:52:54Z,republican,republican.png,8rekS7uC6vDbeTJEr,",,12,,",,,,,2019-11-11T21:01:57.155Z,12.0,,,,,3.0,2.0,1.0,True,43.0,bachelors,male,,75.0,Hashtag_Rock.png,,,,9.0,,12.0,11.0,12.0,republicans,democratic,neither-unknowledgeable-knowledgable,strong_agree,no_agree_disagree,agree,no_agree_disagree,agree,little,quite_bit,quite_bit,little,little,not_at_all,little,not_at_all,not_at_all,not_at_all,100.0,95.0,80.0,30.0,25.0,85.0,6.0,9.0,no,no,,,,,315000,38.6,190,"9,,12,11,12",,
CZbg85KgSwa2HDhMf,,2019-11-11T20:59:17Z,,,"ExitSurvey,GameSurvey,Debrief",2019-11-11T21:01:09Z,finished,,,2019-11-11T20:52:58Z,republican,republican.png,HKJsZ3W6J9A5HbdoR,"60,54,55,55,55",2019-11-11T20:59:37.051Z,60.0,2019-11-11T21:00:11.589Z,54.0,2019-11-11T21:00:31.125Z,55.0,2019-11-11T21:00:41.147Z,55.0,2019-11-11T21:00:56.422Z,55.0,3.0,2.0,1.0,True,28.0,associate,male,53.0,,Hashtag_Rock.png,,,,60.0,54.0,55.0,55.0,55.0,republicans,democratic,slightly-unknowledgeable,strong_agree,strong_agree,strong_agree,disagree,agree,not_at_all,extreme,extreme,not_at_all,little,not_at_all,not_at_all,not_at_all,not_at_all,not_at_all,100.0,100.0,47.0,47.0,60.0,79.0,10.0,10.0,no,no,,,,,315000,38.6,190,"60,54,55,55,55",,
DeEExZkPQZwpxMsZs,,2019-11-11T21:04:50Z,,,"ExitSurvey,GameSurvey,Debrief",2019-11-11T21:06:46Z,finished,,,2019-11-11T20:53:20Z,republican,republican.png,vfWfaDQf3tifYZhTD,"9,,,9,9",2019-11-11T21:05:15.494Z,9.0,,,,,2019-11-11T21:06:22.998Z,9.0,2019-11-11T21:06:43.570Z,9.0,3.0,2.0,1.0,True,64.0,some-college,male,8.0,34.0,Hashtag_Rock.png,,,,9.0,,,9.0,9.0,democrats,multiple,slightly-unknowledgeable,strong_agree,strong_agree,strong_agree,strong_agree,strong_agree,quite_bit,extreme,extreme,moderate,quite_bit,not_at_all,not_at_all,not_at_all,not_at_all,not_at_all,100.0,100.0,100.0,100.0,92.0,100.0,9.0,10.0,no,no,ty,,,,315000,38.6,190,"9,,,9,9",,
6tMRBrjZJ42tAMbY5,,2019-11-11T21:04:12Z,,,,2019-11-11T21:06:19Z,finished,,,2019-11-11T20:53:35Z,republican,republican.png,stjbQNW3xD4FdGPoq,",,,,",,,,,,,,,,,0.0,0.0,0.0,False,64.0,some-college,male,,,HotDog.png,old state house,62,Jack Dietz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
n88keoFCeoZXs7562,,2019-11-11T21:01:05Z,,,"ExitSurvey,GameSurvey,Debrief",2019-11-11T21:03:07Z,finished,,,2019-11-11T20:55:08Z,republican,republican.png,Rck3Mi2cTRkiNuJqz,"15,15,20,,16",2019-11-11T21:01:25.008Z,15.0,2019-11-11T21:01:50.019Z,15.0,2019-11-11T21:02:12.718Z,20.0,,,2019-11-11T21:03:01.596Z,16.0,3.0,2.0,1.0,True,52.0,some-college,male,30.0,35.0,HotDog.png,Old State House,62,Jack Dietz,15.0,15.0,20.0,14.0,16.0,republicans,multiple,slightly-knowledgeable,agree,no_agree_disagree,disagree,no_agree_disagree,no_agree_disagree,quite_bit,quite_bit,quite_bit,not_at_all,little,not_at_all,not_at_all,not_at_all,not_at_all,not_at_all,88.0,89.0,61.0,79.0,87.0,61.0,10.0,10.0,no,no,,,,,,,,"15,15,20,14,16",,
99A5ijxRJDfpgaope,,2019-11-11T21:09:14Z,,,"ExitSurvey,GameSurvey,Debrief",2019-11-11T21:11:33Z,finished,,,2019-11-11T20:56:36Z,republican,republican.png,Gmj5QzWu4tRZzgkM2,"38,,,,",2019-11-11T21:09:41.936Z,38.0,,,,,,,,,3.0,2.0,1.0,True,45.0,associate,female,,49.0,SuperEnemy.png,,,,38.0,,,,42.0,democrats,democratic,knowledgeable,agree,no_agree_disagree,agree,no_agree_disagree,no_agree_disagree,quite_bit,quite_bit,quite_bit,quite_bit,quite_bit,little,little,little,little,not_at_all,78.0,54.0,25.0,66.0,68.0,38.0,9.0,10.0,no,no,each game passed by too quickly during that decision on estimates,hormozgan,nikolai patrushev,beijing ,,,,"38,,,,42",,
mikWc7rRPE9p5JkQb,,2019-11-11T21:06:05Z,,,"ExitSurvey,GameSurvey,Debrief",2019-11-11T21:07:51Z,finished,,,2019-11-11T20:57:09Z,republican,republican.png,BHSxwqa6euz6bNfDK,",,37,40,39",,,,,2019-11-11T21:07:01.720Z,37.0,2019-11-11T21:07:27.566Z,40.0,2019-11-11T21:07:36.040Z,39.0,3.0,2.0,1.0,True,33.0,high-school,female,65.0,67.0,HotDog.png,boston old state house,62,jack dietz,,30.0,37.0,40.0,39.0,democrats,democratic,neither-unknowledgeable-knowledgable,strong_agree,agree,no_agree_disagree,no_agree_disagree,no_agree_disagree,extreme,extreme,extreme,extreme,extreme,not_at_all,not_at_all,not_at_all,not_at_all,not_at_all,100.0,100.0,50.0,99.0,85.0,61.0,10.0,10.0,no,no,thank you,,,,,,,",30,37,40,39",,
tcdjjx7mhEz75GNGA,,2019-11-11T21:08:54Z,,,"ExitSurvey,GameSurvey,Debrief",2019-11-11T21:10:36Z,finished,,,2019-11-11T20:57:38Z,republican,republican.png,ojbiNKbfXyZh96jc6,"32,31,31,33,31",2019-11-11T21:09:11.120Z,32.0,2019-11-11T21:09:31.382Z,31.0,2019-11-11T21:09:41.702Z,31.0,2019-11-11T21:10:03.031Z,33.0,2019-11-11T21:10:19.444Z,31.0,3.0,2.0,1.0,True,53.0,some-college,male,,62.0,SuperEnemy.png,,,,32.0,31.0,31.0,33.0,31.0,republicans,democratic,slightly-knowledgeable,agree,agree,no_agree_disagree,disagree,no_agree_disagree,moderate,moderate,quite_bit,moderate,moderate,not_at_all,not_at_all,not_at_all,not_at_all,not_at_all,82.0,83.0,62.0,59.0,86.0,74.0,,,no,no,,Hormozgan,Nikolai Patrushev,Beijing,,,,"32,31,31,33,31",,
