_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.political_affiliation,data.avatar,data.neighbor_ids,data.responses,data.response0TimeAt,data.response0,data.response1TimeAt,data.response1,data.response2TimeAt,data.response2,data.response3TimeAt,data.response3,data.response4TimeAt,data.response4,data.total_reward,data.base_reward,data.bonus,data.made_submission,data.age,data.education,data.gender,data.instruction_first_guess,data.instruction_second_guess,data.article,data.mile,data.stone,data.years,data.last_response0,data.last_response1,data.last_response2,data.last_response3,data.last_response4,data.other_player_party,data.knowledge,data.senate,data.state,data.american,data.neighborhood,data.democrats,data.republicans,data.determined,data.attentive,data.alert,data.inspired,data.active,data.afraid,data.nervous,data.upset,data.ashamed,data.hostile,data.american_feel,data.texan_feel,data.democrats_feel,data.californians_feel,data.chinese_feel,data.republicans_feel,data.clarity,data.fairness,data.lookup,data.familiarity,data.feedback,data.province,data.official,data.city,data.champion,data.hotdog,data.boston,data.last_responses,data.russians_feel,data.iranians_feel
W8K3CWTZetDuAPzQm,Bob,2019-11-08T15:35:13Z,,,,2019-11-11T22:05:54Z,finished,,,2019-11-08T15:35:13Z,republican,republican.png,QmmCH3Gys59niq3X2,"70,70,70,70,70",2019-11-11T22:05:13.651Z,70.0,2019-11-11T22:05:19.412Z,70.0,2019-11-11T22:05:35.294Z,70.0,2019-11-11T22:05:45.290Z,70.0,2019-11-11T22:05:53.858Z,70.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
2dxT4R5hxoerkLAoz,Bob,2019-11-08T15:35:13Z,,,,2019-11-08T21:54:48Z,finished,,,2019-11-08T15:35:13Z,republican,republican.png,oLaqqcZmxjkSrDrEu,"68,54,59,49,54,42",2019-11-08T21:53:42.799Z,68.0,2019-11-08T21:54:00.292Z,59.0,2019-11-08T21:54:17.302Z,49.0,2019-11-08T21:54:35.297Z,54.0,2019-11-08T21:54:45.704Z,42.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
Xc7mwfF4LveKdfhvs,Bob,2019-11-08T15:35:13Z,,,,2019-11-12T01:58:55Z,finished,,,2019-11-08T15:35:13Z,republican,republican.png,6jTgHoQs7poRGigCL,"89,89,89,89,89",2019-11-12T01:58:11.394Z,89.0,2019-11-12T01:58:19.399Z,89.0,2019-11-12T01:58:31.404Z,89.0,2019-11-12T01:58:48.410Z,89.0,2019-11-12T01:58:55.417Z,89.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
DQBdJskcpFFSS2qo3,Bob,2019-11-08T15:35:13Z,,,,2019-11-08T23:08:37Z,finished,,,2019-11-08T15:35:13Z,republican,republican.png,YLqGxSzxQmLqkJTbn,"87,87,87,87,87",2019-11-08T23:07:48.902Z,87.0,2019-11-08T23:08:07.296Z,87.0,2019-11-08T23:08:18.195Z,87.0,2019-11-08T23:08:28.200Z,87.0,2019-11-08T23:08:36.298Z,87.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
CmgwARLuvB7YpdnM9,Bob,2019-11-08T15:35:13Z,,,,2019-11-12T01:20:50Z,finished,,,2019-11-08T15:35:13Z,republican,republican.png,tk2ovqMuXygAtwkr7,"99,99,99,99,99",2019-11-12T01:20:13.698Z,99.0,2019-11-12T01:20:26.707Z,99.0,2019-11-12T01:20:35.706Z,99.0,2019-11-12T01:20:41.722Z,99.0,2019-11-12T01:20:49.781Z,99.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
dPCEi36enE9ohYc3Q,Bob,2019-11-08T15:35:14Z,,,,2019-11-09T00:42:17Z,finished,,,2019-11-08T15:35:14Z,republican,republican.png,cbt7g27MCKAZuJCT4,"66,66,66,66,66",2019-11-09T00:41:24.395Z,66.0,2019-11-09T00:41:33.402Z,66.0,2019-11-09T00:41:53.891Z,66.0,2019-11-09T00:42:05.900Z,66.0,2019-11-09T00:42:12.799Z,66.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
Jm4ySooiShojNqdzd,Bob,2019-11-08T15:35:14Z,,,,2019-11-11T17:57:20Z,finished,,,2019-11-08T15:35:14Z,republican,republican.png,XshfTMF25rXdxaQ4A,"18,18,18,18,18",,18.0,2019-11-11T17:56:25.858Z,18.0,2019-11-11T17:56:38.059Z,18.0,2019-11-11T17:56:52.473Z,18.0,2019-11-11T17:57:08.258Z,18.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
izu7ZMq3qvr9Q3tZF,Bob,2019-11-08T15:35:14Z,,,,2019-11-11T22:18:42Z,finished,,,2019-11-08T15:35:14Z,republican,republican.png,RStDLWzJLMMkpvofx,"10,10,10,10,10",2019-11-11T22:17:22.180Z,10.0,2019-11-11T22:17:44.371Z,10.0,2019-11-11T22:18:01.300Z,10.0,2019-11-11T22:18:18.303Z,10.0,2019-11-11T22:18:34.325Z,10.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
sHcYoPfEasfBrPH6M,Bob,2019-11-08T15:35:14Z,,,,2019-11-11T23:08:12Z,finished,,,2019-11-08T15:35:14Z,republican,republican.png,DoZtzBWw533pj6FZn,"87,72,64,61,56",2019-11-11T23:07:22.094Z,87.0,2019-11-11T23:07:38.208Z,72.0,2019-11-11T23:07:49.195Z,64.0,2019-11-11T23:08:04.280Z,61.0,2019-11-11T23:08:12.202Z,56.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
LggBK9CgqiJcTqdti,Bob,2019-11-08T15:35:14Z,,,,2019-11-12T15:28:00Z,finished,,,2019-11-08T15:35:14Z,republican,republican.png,JgzJDaHtn8MmkNbr4,"90,78,70,62,55",2019-11-12T15:27:22.785Z,90.0,2019-11-12T15:27:34.891Z,78.0,2019-11-12T15:27:41.975Z,70.0,2019-11-12T15:27:54.175Z,62.0,2019-11-12T15:28:00.009Z,55.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
