_id,id,urlParams,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.political_affiliation,data.avatar,data.neighbor_ids,data.responses,data.response0TimeAt,data.response0,data.response1TimeAt,data.response1,data.response2TimeAt,data.response2,data.response3TimeAt,data.response3,data.response4TimeAt,data.response4,data.total_reward,data.base_reward,data.bonus,data.made_submission,data.age,data.education,data.gender,data.instruction_first_guess,data.instruction_second_guess,data.article,data.mile,data.stone,data.years,data.last_response0,data.last_response1,data.last_response2,data.last_response3,data.last_response4,data.other_player_party,data.knowledge,data.senate,data.state,data.american,data.neighborhood,data.democrats,data.republicans,data.determined,data.attentive,data.alert,data.inspired,data.active,data.afraid,data.nervous,data.upset,data.ashamed,data.hostile,data.american_feel,data.texan_feel,data.democrats_feel,data.californians_feel,data.chinese_feel,data.republicans_feel,data.clarity,data.fairness,data.lookup,data.familiarity,data.feedback,data.province,data.official,data.city,data.champion,data.hotdog,data.boston,data.last_responses,data.russians_feel,data.iranians_feel
SXjBs9pxHeBa2jtE9,RwG39HtDezDM6Wqsy,{},Bob,2019-10-17T23:51:20Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:20Z,republican,republican.png,ne85Hd6LmrRqMENJo,"5,5,5,5,5",2019-10-18T14:23:38.470Z,5,2019-10-18T14:24:03.698Z,5,2019-10-18T14:24:10.999Z,5,2019-10-18T14:24:23.086Z,5,2019-10-18T14:24:38.268Z,5,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekzdXpHx3mdvhk9xy,24DPa5vRNng7i94Ft,{},Bob,2019-10-17T23:51:20Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNYZCDBk2XLGYQQ5Q,EzMibZPLzZuPQsBfH,{},Bob,2019-10-17T23:51:20Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zyPEkbmLN4xx7ES6L,ieJLNZtvt65eYTkZT,{},Bob,2019-10-17T23:51:20Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2KJGy3YyExvgEaqJN,FFvKRJxfxHYhgBjrd,{},Bob,2019-10-17T23:51:21Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mGiLqeSxEpaP4Ei5Z,sBfcnQorpHZpqyvdR,{},Bob,2019-10-17T23:51:21Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wEeJfgJBWoPXaDCNQ,MyjYrvQPDq6NkhAWi,{},Bob,2019-10-17T23:51:21Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TcJpzHtJcARwavYgk,sfGSrAmkQbEMwaZSQ,{},Bob,2019-10-17T23:51:21Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54X8Lk6Yh3BZ6XuwW,RYmoL8mpSrrejFT83,{},Bob,2019-10-17T23:51:21Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:21Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theiBKg5pTWMNML7B,urR5y8jrveMwuejcN,{},Bob,2019-10-17T23:51:22Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:22Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
